CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
106652,2230141,7876674,1871081,10086329
132267,392194,9460308,1991842,9875998
117948,576034,8649119,9010215,9045177
133881,106375,9792066,123367,9062151
110268,216093,9398446,159566,9830227
115086,98046,9648555,4945696,10063185
150969,117431,9206769,12723769,7928808
62858,224793,9738282,1079069,9988660
122807,156687,9078446,73828,9006647
106936,74039,7988327,3898051,9292777
106986,280371,9988188,937158,9738872
107595,88727,8957620,1011177,9024323
110812,122003,10005057,4021891,9140065
126383,111028,8982507,269509,9800991
111958,111889,9016290,2701148,10133362
136761,112421,10017643,123090,8894014
155671,140769,7931236,925280,10111369
105178,107371,10035522,2016488,8983120
114804,105363,9060732,142642,121322
134252,400646,9317834,1826084,1812293
134291,109590,9597110,3010062,4885675
136127,88389,9059126,1939680,11217323
139247,135987,9344263,113452,9046019
102085,60845,8822928,886847,11772739
187265,105414,9722905,2991186,6269934
130849,175118,9013531,996682,10848662
131684,108450,9335543,153371,2829446
131802,234651,10646660,896102,4111211
115835,53731,8023539,5130275,5945110
112500,109871,10021263,123428,2168549
332993,124369,9050574,689213,12093542
117642,59443,9250145,129968,8713534
109858,122168,8917621,1885931,3931005
107784,107255,9747432,2995788,3107991
108202,147603,2356743,58485,3003322
109044,109276,3945502,103472,993358
109910,191123,5008361,12794519,4009688
147163,111056,169917,6271031,2983534
65630,242940,2240123,3833351,58147
110052,498075,11998641,4115477,870422
106204,580259,8080896,2823168,2017673
106337,132760,9341086,6986999,1120808
107262,124908,9646208,10116728,83575
112684,122057,9107238,8983756,1816880
143419,261518,9867709,10141942,1955156
150771,90159,9181525,10912544,240249
138778,315755,9805286,8873596,1773656
148813,326476,10030918,9150064,1987526
116213,127088,9930072,12090795,3118854
143491,112733,8993256,7802459,81179
177361,245389,10043622,9068117,626316
102109,431837,9218847,852413,1180069
112115,332644,10707986,116943,5000391
136776,400720,9092618,6996524,217298
65093,306472,10042583,932008,3792745
107394,597421,9027960,251934,4149448
106664,42511,10837498,4729263,1812833
114553,276833,9145193,8937854,3205456
108659,111794,8871346,7179680,86620
109362,100995,9038182,507458,1745847
110996,376407,10037129,11347792,2950495
100349,210183,9238444,9355097,2018382
251266,162096,9886567,8884171,3050546
106534,135121,9946990,9777488,116771
106396,150408,8010226,6962784,1823873
108160,414071,9962310,4010966,7057877
107635,153949,8878983,197096,9974149
108362,51642,8344025,2735717,1025425
110509,150569,9640126,104033,8108835
112607,154268,10160342,342285,6019316
367072,577196,9791747,998294,878582
115386,283697,9042755,65511,10885189
106935,87840,10248818,1503972,9051585
107333,1043782,9752339,117564,4047775
109106,207729,9440100,348413,131541
108990,380331,9814871,1069633,1837378
110136,195405,9754165,45867,5054100
812356,163477,10272888,876652,187784
118055,157180,8912380,79286,1720465
125671,159808,9771407,102468,2518300
145478,144399,11115674,831912,6749285
108896,192626,10147733,62230,150802
128773,141561,8745305,980485,2678050
106926,223107,8993482,687627,846093
107458,910939,11045616,1872006,1314873
116510,61989,8084001,261487,137786
109156,236998,10978705,1679605,617671
110198,185077,8302036,134284,2958073
134127,339673,26576940,306089,192332
61628,128016,3174173,986073,1058756
108808,143177,11883982,79795,219752
106613,153596,8056773,942570,715927
106649,198512,11977234,72935,274606
107414,316394,7894913,67488,480260
108085,158199,11235757,835325,1052929
106769,1318823,95466,991217,1993731
109558,358533,180002,999944,241177
195077,66884,656447,77664,764229
130531,99354,235535,924835,1119604
108178,117537,784045,998665,990092
107557,165844,1037637,82200,959457
107724,161249,932888,132261,458341
108522,339152,163841,795806,436516
111465,156623,830910,79573,135849
110244,158543,274145,1954306,93626
125924,158629,958630,70114,1897183
87624,160582,731094,54953,186412
134126,151553,175894,1811432,2034405
105894,121840,858502,68943,1095945
106062,196814,191264,2482087,586485
107587,607529,933981,2034928,5964558
111779,265703,69751,1888899,950135
108495,55563,790935,4030138,8037911
109654,57079,163484,7099906,11008613
115165,179090,888941,10092831,8019770
92432,170325,335540,998955,10989394
139945,167131,650900,5968458,5954191
107245,363388,246880,8903876,92362
108893,160180,673413,11953887,8040795
109056,171454,176479,188706,1786820
110334,170646,918835,6803683,2199085
195497,174206,78305,9322282,753718
240739,197245,93090,11734918,3125909
218344,110182,696990,8036612,93681
115888,162491,171759,5073652,10898258
108837,163364,315881,854801,2933166
111055,455925,481371,12124579,255337
98027,67397,247115,8896749,2713242
109721,163958,105146,8972871,13070406
277021,167749,636136,11026900,6921104
277920,168148,176281,162633,11002807
126077,169891,943029,95728,9067740
199885,260747,110428,3722571,8955854
204482,156795,792922,11985758,9982577
224817,158568,198298,7999402,9094881
108528,165488,297271,10892379,9021601
135390,167637,448828,9040301,9923967
111317,198114,181034,10054304,10034132
108719,112860,689608,9928963,7911937
123751,157543,197823,3156985,10035785
108729,156332,792074,114582,8115231
145082,164863,150760,1745339,8884910
86035,182397,196223,6023522,148804
112461,343317,627894,82183,78736
106781,153364,181149,902308,3864482
107483,163362,835154,196894,101245
120659,167256,95284,1746488,88695
110885,167450,929207,6000758,726062
110962,198953,113896,131895,1220827
114184,129575,763458,4816240,4813184
146221,158869,113209,3001692,925151
157725,128271,181310,136070,1245444
107722,160905,714573,1021400,907255
114252,171136,127804,3924784,93274
109418,176441,865927,2939477,707575
98966,171752,184114,10112436,1197911
111016,193896,306226,8896950,787537
114461,174088,812056,437583,330474
145468,176515,107880,6652366,2759186
88563,185315,645282,11091209,1879882
227724,209725,141469,9852014,1229162
121789,309132,908868,8994543,1858968
110145,74727,171983,8930382,842363
109613,177338,130416,9020962,224688
112929,192412,711145,8984362,119635
178294,210518,96644,3058910,690301
181715,176045,825127,4947394,391031
139126,170454,155741,10007786,823973
164976,174067,118637,8974086,1871241
190997,170485,63002,9922688,309998
207558,188323,720016,9277091,685107
245880,175984,936839,12776060,93091
108352,210342,124065,6951225,145832
202321,168007,138911,11025434,617266
203353,172097,998406,7980682,1122264
206704,195243,963704,11109478,305824
243430,313395,98889,8194602,575058
136120,163106,877284,10811001,177332
106513,163901,219440,8873385,825945
106879,200039,216927,9088094,254827
107989,167713,511968,8910017,1009505
119555,208002,241863,10220757,220903
113810,211174,717728,8809751,461571
100455,165671,179507,9994407,230027
140730,170411,709932,9020666,1840331
73024,173122,128082,9084246,353891
105843,202698,99960,9848792,599056
105649,139554,116527,9981361,1050171
126459,1030664,595920,562290,104995
203897,175544,130981,5430612,1000595
205756,169956,191200,11067864,428446
243111,167272,127607,9988435,1446671
135136,168031,577775,9952881,1066618
115351,215754,987350,7992012,791361
108850,146430,929329,11155044,149804
110202,180521,170735,8878969,2034258
112100,184432,214217,10945195,245592
111366,157514,868850,8076881,58401
112452,397286,250169,9969724,547905
354198,173706,642271,8932679,3114077
115244,173605,202682,4069263,886630
108502,179759,794331,4138765,247507
114408,188117,283656,785757,89552
110371,211740,703316,1972462,848414
110182,209848,202873,2057424,915871
111232,179107,806331,7167235,235090
116207,182011,211522,1913294,685732
155361,1086832,749840,865359,1159197
106932,233980,256135,4973016,140056
106441,115725,748352,162008,851255
107141,174265,209585,906608,3708459
108054,180211,906151,2140238,459413
108747,190810,984196,895684,3674282
117675,188994,430766,4891410,190777
144593,212404,555805,172526,2029911
90671,222773,119473,1951216,64189
108660,415218,787848,928535,3840978
107248,363790,225569,3148899,182083
107452,122359,653193,1038171,561844
108397,82302,290636,3720241,109333
115451,466523,799506,986053,1237530
100249,390813,98478,1040129,3828715
111356,77162,776683,2372288,145458
145159,83901,230704,607746,891386
89663,76565,787656,742732,7886497
573146,175849,145272,1057083,261908
120110,181808,857860,367210,6680742
119350,384986,154763,862437,8170176
156419,174799,866620,159571,140028
139417,175741,137085,885067,10709227
82344,180061,878861,1000134,9969168
113887,181432,129667,211797,7944387
109230,212491,810713,374580,10972101
111924,126989,162148,346146,8982793
111357,172568,841364,995130,9120888
111325,176675,134069,139866,9913238
240412,182816,842204,159144,9093330
115802,414220,186381,359740,10879470
107590,237356,827455,1360160,8019859
107571,208950,186188,192470,10023494
96783,194162,816918,765545,9340325
109120,215150,117856,130105,9623999
112708,234753,89350,872460,9122059
109887,167374,803110,581705,9783118
241375,169012,150142,102172,8095250
107017,3324531,960032,461271,13028615
106362,12476882,95641,810918,5860500
106651,8685281,782785,265772,12093057
109307,4034103,263309,743063,7946856
98321,152148,795327,128601,8148969
109123,1814627,164715,316382,12041241
109764,11906337,784170,489264,6824915
145015,11024497,229577,617708,11005711
90210,8071985,816884,119003,8946604
109636,11017067,106852,85194,11316449
108046,8895769,840410,811523,7771141
106939,192135,247181,473868,10956255
107829,80756,731224,646352,8256859
108640,185628,185102,236146,10242947
98255,183905,835149,180699,9567759
111213,190149,899168,396847,9290584
249478,193792,105554,63343,11676460
177532,228057,66297,133697,7018376
116938,179661,1247403,182701,11045790
109051,175421,171676,602894,8898253
109596,184564,298292,141318,8969887
109599,221294,164479,282286,10090979
114225,5350345,134899,585062,9083781
295273,14014407,148872,74106,9861670
83035,3140593,703845,933963,7960042
129487,1437205,183984,990465,11106313
106870,4014615,857867,996956,7797779
107672,5099020,1092064,106919,10991651
108392,7112743,726612,879767,7168342
109026,989811,156481,1062645,11887691
125276,279562,1046567,115957,9052975
136900,137486,925022,863717,8925229
224067,79681,93027,362343,9901502
114974,1058459,784713,165809,8291979
110902,214402,79763,1488981,11880633
108526,212019,200949,1410489,7882018
121678,73458,688800,88498,11009187
