CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
12116890	253304	6066496	4129660	12353805
7978885	3839113	10565757	11552608	8892814
10044779	11023573	8432780	8903416	9062516
8663997	9045771	9586825	9039486	10005516
10299950	8988337	9411832	9482858	10207678
8960638	9894801	9002366	10001910	6888104
9047973	8990657	9998751	8960603	11931721
9245026	9047439	10032712	11023295	8018125
9710314	10127071	9576172	9004441	9892274
9058862	9921837	10485527	9974056	10262270
9974170	9116405	8571417	9510828	8038100
10125411	10904708	9315878	8459055	9768104
7849705	8948499	11699586	9666287	8934268
11112138	10063066	8900104	9372360	9072346
6879706	8848645	9425407	9527908	9947049
9991429	11075171	9004751	9029394	11017495
8764740	8921170	11030424	10512178	8140561
10274435	8921395	7994561	8470738	8935315
8097780	10214970	10007699	9080339	11020676
10033029	9005077	9588774	9364890	7945873
8821110	9006626	9119612	9041989	10953004
9167972	8923659	11291627	9543175	8988097
9845408	9984212	9031361	9393799	9057297
8974671	8152211	9710403	9628325	11049904
9069810	10923521	9907253	9961320	4905140
9926148	7926430	9994722	9021542	15101960
9005025	10032770	6945789	8948685	6075593
9007358	9013448	9379454	9462808	9866149
9086889	9023370	9584601	10045273	11084459
9902984	10015682	9033330	9501895	8049059
9070691	9993514	9134330	9476453	10911040
9032869	7955364	10218746	9955677	9051419
9652552	11142403	9627361	9635335	8963071
9263860	7840905	9458288	9450883	8880405
9036383	10112610	8929369	8912303	10201959
9104223	10046684	10008087	10058317	10019226
10001543	8807953	9609434	9504660	9794493
8868683	9206894	8128957	9050204	8951205
10021054	7833594	9986402	8951773	10108983
10135943	11011549	9838848	9987555	8936248
7819311	7998175	9010439	8475209	11146354
9974137	9009464	8164248	10038839	9985232
9153477	10022025	10291032	8510380	8929641
11674106	6966196	9027502	9392035	9005110
6248381	12122209	8499765	9598138	8894539
9993120	7901604	10094023	9124511	10077532
9098695	10008987	9334616	2898564	8902423
9868222	9002288	9557146	6104759	8356614
8139774	8959675	8481066	9939818	12682039
9863291	9966356	9953435	8997854	15124739
8983255	8055104	9012083	9355302	13896875
10159507	10982585	10038809	9019763	8120930
8992438	7947622	9621109	9985166	9092646
9010852	11079556	9420182	10052050	10773273
9025665	8964881	9907349	8995488	9079116
9872260	9003895	9575812	10501608	10924909
9042378	9033200	9474289	9028882	9002230
8924053	9397010	11012794	10031901	11013482
10081057	9602009	8513728	9399700	7074313
8969558	9899429	9505521	9089648	10151310
9976629	8246627	9935758	9916934	9864073
8051515	9778304	9522167	9548575	9935268
8922130	8993093	9091008	9439746	8034235
9021093	8047868	9989937	8638402	10018570
10051190	2935928	9384132	10403468	8958212
8954468	6320814	9623986	9208339	10278835
8947058	9706401	8444198	9896274	10780910
9852361	10105493	10552142	8874748	6971396
9193024	7958810	8987331	9634841	10895547
10120952	10045503	8439111	10139005	9082344
8171849	8975062	9952148	8802707	9059782
11464791	8988002	9747483	9121328	11032050
8344123	9925846	8340597	8948803	8995716
10038884	7987601	9513651	10911913	9049414
7659166	12117056	9464263	9138855	10819775
11217629	7018002	8950384	9912600	9124043
6947355	10006459	9029708	10083851	8907773
12080811	9860221	9548533	8924396	9001924
6964681	8049075	10076505	9955250	11147465
10080250	10053702	8927586	8266867	8797002
9937823	8995554	8418664	11765661	9106378
7980846	9247326	10060218	8059072	8927071
10047525	9732162	9527563	9126102	10108137
9048336	7971039	9059461	9841994	10000166
8905461	11016621	8333428	8913442	7835686
10062716	8070351	10027689	9499313	11996774
8671012	10921197	9038010	9498704	7176197
9377724	6091161	8991036	11001040	10979642
9944394	12912578	9610077	8157793	8033550
7767651	6990944	10074655	9112681	9920975
11147763	8918499	8261440	10884112	8984234
7991304	11073371	9164621	8871194	10041241
9783290	8010834	9478773	10046908	8929525
9255787	9036207	8947118	8990186	9125150
8963679	9967813	9187619	9043078	12020274
9128234	8033278	9818586	9891672	6834106
9639654	9875347	8992890	10581113	11014518
9000430	9370083	9421652	8384313	9054591
9360498	8977219	9980117	10562193	9046467
8946587	9712800	9170222	8466490	10158289
8721845	9015864	9487190	9448900	10891191
10195796	9054699	8989993	9076487	6818470
8000878	10253602	9388050	9443375	10064992
10065898	8680414	9054673	10112030	9073884
9927787	9193364	9503536	8991600	10942163
8753508	9779365	9491489	9516203	7088182
9276505	9074582	8989502	9593882	12036455
9003453	8990790	7018226	8970149	7783609
10062329	9163312	12926296	10331330	10156543
7960894	9842785	7808306	9050510	8972312
9935675	8894124	10781711	9614125	8868261
10076933	9885326	8011020	9015923	10087292
7941183	9164129	10474431	9083259	9208478
9785609	8985742	8509697	11340648	10758489
9197191	9057993	9086857	8526789	11291038
9765476	10036024	10934729	11019651	7912814
8264715	9102278	8070560	8318252	9863060
10006586	9640920	9011758	10095196	9009494
10064375	9245950	9897108	8474930	12083027
7985254	8993600	8494671	9029230	5855340
9951322	8999649	10581268	10043626	10044142
9028996	10012118	7958864	9003960	10010185
8972920	8983336	9412189	9132495	9159094
9727338	9983573	10078729	10767626	8852125
9258261	7974786	8492958	8127567	10918877
9750247	10021499	9453874	9898632	8154801
9242575	9951040	10000937	51193992	10971801
9766270	8202224	8540157	9816135	8027893
8247409	9810703	9071435	6992406	9021710
9985234	9046728	9947944	10992952	9829721
10052068	8924620	9043268	8493000	9962263
6988972	10087546	9463267	10595570	9089404
15037408	8004500	8560218	9449826	9944922
3896778	10147386	9307058	8944906	9997099
13103199	9768564	10001911	10057129	9084059
8011857	10166043	8015910	9930874	9897268
10098431	8872773	11725182	8963697	9203981
9938982	8989040	7933125	8979353	10964886
8955168	9013559	9458364	6570824	7923602
8668663	10039428	7866928	1457522	10920006
12274502	8935422	10006332	9980930	8076734
8113666	9034026	10648508	9594028	8973071
8853640	9958807	8039033	9475804	9960744
8270969	9080775	9989463	8989322	9002908
13505783	51985378	7982738	9487770	10070038
49328455	7009992	52421244	8991119	9112396
8928443	10891065	6983001	10018859	9992232
9712455	9050637	9980039	8502037	8847675
9308130	9030792	9509509	9496943	10901462
10987570	9269772	8466820	9520625	8019972
8062202	9725993	9979734	10000718	10076161
8978025	8957803	8558515	8672584	8961833
8890226	9029292	10060219	10288308	9258130
10837670	9159055	9358695	8952655	10785979
8284819	10846471	9046856	9604081	9271139
9683633	9105039	9685487	9416057	10717580
8220826	9501058	10297314	10519469	8961671
11084071	10529441	9650639	9060798	10027526
7021823	7037839	9550367	10057193	9245121
13058800	10817495	8828588	9396515	9824348
6972261	8097788	10036145	8971567	8986786
10925908	10860086	7524161	9548342	9961129
7057218	8138743	11083412	9529825	9995121
10992174	9966903	8405309	9481835	8104049
8027535	9059417	9547522	9495217	10863329
9869830	9050234	9065428	9500311	8065394
9130922	8805458	9357436	8414843	10179407
9880854	11014041	9607459	9658094	7902992
8955777	8023140	8994459	9962273	10879727
8053948	8105099	9373211	8430280	10135908
9954053	11923208	9617333	9530659	8997292
9097181	8038834	7992872	11501461	8871365
8972285	9011710	11047778	8966309	11179843
9967082	10015551	7088611	9580075	50859642
9060578	10042727	10822346	9423697	9921341
8981968	6786408	8432212	9997883	8918480
9698786	11182245	9550027	9979351	9011302
