CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
1264652	1445689	2912062	469306	1358934
4498420	4161140	1619689	2171806	1552344
1408467	12865280	4917675	2952861	572216
889208	6914409	3925916	209914	9906924
4046613	11055465	11035683	9600999	8862291
13074666	8012600	9055870	165205	6005578
8119306	8876220	9045691	934112	947074
9841326	12157596	12986738	453534	12054532
9983668	7848492	5922341	884442	8979701
8978224	10056569	9353488	423270	8940541
11095623	9986673	9788234	566928	9227206
9866330	7164776	1085070	256123	5890289
7994385	1893685	7788624	9319208	969931
6503398	7815974	10033579	9068325	11996058
783004	10075597	10078395	9952854	8880166
12733345	11000577	8860295	8917553	10095622
10238382	8072687	10938496	10541240	10016079
7932823	256223	9174865	587480	8809869
11746573	7612379	9924206	5948400	11145046
8093196	10961748	10381890	10941608	7882796
2940302	8083698	982497	9056389	10009726
4994821	11988017	5678890	8883189	9004891
12040549	10313052	2037307	9079626	10019048
8166479	6929452	7044733	10034186	9021865
11769144	10830314	238866	7873901	9037636
8071818	10032625	6579736	108883	9577392
9974216	8841743	12913927	980039	9440947
9866987	10032509	113450	121927	9002171
9096547	10098084	4944631	342280	9769284
11097560	7750756	12067373	3549017	8395428
7807050	10140951	1032270	2939195	6679584
11102088	9000387	4097940	6064483	562733
8964898	11031171	13666448	12006883	12406411
6945095	8855389	6065525	1851862	7988474
14039281	9046686	10242739	5023728	9973341
8029016	10998660	3842873	202221	10019459
10825982	9056496	112066	559252	10109390
7941784	10214702	2702924	5408371	8919215
12030832	9755588	11054561	12071402	9939201
8226618	9021586	9998741	9169956	10990820
9798974	9990128	9018414	2744139	8103267
9193571	9952383	9974662	4815997	9893614
8791756	9934788	8966296	348202	9055373
9974677	5078401	10001163	264706	8982104
10110119	962596	8366578	718839	9981213
8866780	12983804	1165249	3956478	9067591
10013748	7941234	8629899	13698299	9936916
9129467	10196327	1330659	7043108	9052591
7976709	10899097	4504955	8892573	8924028
10891079	7943397	218895	10079202	9996212
8976684	10987218	10001496	9244450	9020125
9114492	7985275	837685	9681968	10006121
9937692	11178986	3170562	3118421	9027848
7938569	8893683	1797881	1910377	8878050
11088236	9883747	6443397	209988	10029179
8024381	10097562	1572607	233121	10061748
10057961	8986921	13910580	8504171	9328929
8945333	8936179	2423828	1053832	9627400
9027210	9974861	831993	147767	9959205
9772296	9003106	11810156	138080	9045520
8954555	10054492	10030831	225577	9889588
9947958	8892770	1149638	932013	7971302
10224645	10349975	5732298	88153	11113984
8934351	9728621	9981810	646862	360281
10874446	11929289	10119939	10840458	501198
8116103	5035401	204667	9897155	4125281
11825912	11903651	5705088	9055599	11320775
8161050	9009487	1239706	9033529	8843690
9994191	10001201	215635	926310	9783643
8811381	9962199	934804	241105	9045972
10129351	9058436	1793739	186276	9982395
10288906	9972047	203536	4531621	9109796
7670562	8401317	1613884	11988385	9814939
11966352	9558236	11005749	1620095	8100541
8065436	10066468	8873570	5392433	11991993
6998696	9966047	9160672	191169	7957213
14063467	9026471	10042586	764084	9968983
6962719	8891643	9881124	260980	11077044
10866648	9023349	8960023	562701	7287739
990314	10000050	10133209	222200	10619673
1260295	9160297	8939407	1192399	9044666
1879628	9297595	4973583	12880007	9144601
13868243	9538373	1888480	951889	10134941
6297906	8379282	11051316	282616	9706940
1665132	9808262	9073642	2888737	9058955
6086919	9838681	9904441	12853240	9340045
11907754	8971458	8975548	924805	9526157
7970574	9967456	9407315	175395	9065637
9960944	2046285	9074418	3286620	9896340
8139653	4395856	10553105	640073	9024389
10940923	10873537	8940220	231610	10062112
7853011	9000972	9020717	60229	8948512
324160	9727303	10070602	5583455	11171092
7767108	8914951	8107940	12005794	7227084
10013588	9087617	9889240	7373521	10581588
8988599	9936372	9978629	11673345	8100287
9105972	8082433	10009810	7981699	11978869
9782806	10924473	8961097	289725	9041947
7963208	9122532	10035912	7762360	7939407
