CPU Low Jitter (ns)	CPU Medium Jitter (ns)	CPU High Jitter (ns)	CPU Medium & Memory Intensity(ns)	CPU High & Memory Intensity(ns)
4026476	1714584	3018475	4598500	3495826
11903075	12929739	230916	12820468	8087256
8029532	590812	630848	8230507	924283
10105140	3369816	210995	9783070	13191024
8250340	9088969	2141929	9756762	8851469
10689846	1976394	7707009	8973984	8955479
7910201	1892489	2999351	10255357	10055450
10110427	5158069	187116	9745977	11958133
8960068	10866392	3772886	10027514	6130051
10036824	8033272	1131289	9298249	11819774
121324	11206834	1781549	9715561	9024417
1036850	7850709	947989	9991939	10038888
128243	10074106	768522	10057550	10037301
94843	8831091	364350	9985394	9943502
1724888	8980886	330068	8947286	9041560
11823796	10164652	2626365	10069380	10909612
7969405	9003229	1262966	8038134	8996751
138765	8155155	705143	10878426	10379063
6865365	24727148	959139	8996102	8639162
14051458	3002546	227301	8971894	10028709
5941244	12750283	865267	9356462	9901818
9100614	7124491	118043	8946726	9025548
10985562	9953736	248228	9700569	9999912
7899020	9013318	2454714	9056088	10052638
10102631	10001747	2161301	9070319	8786621
9176415	7949009	830939	9997375	11088192
10802455	9942381	597379	10082129	10009923
7903458	9111459	1374717	7842809	9078183
10034733	9033841	191101	9994140	11023435
10072893	10062416	1823893	93245	7978605
8960626	8984308	451454	7127245	9961829
8986752	8801105	944508	11832538	10928998
9974050	10088130	964838	6961424	8969303
8964247	8206251	1665996	8989164	9884187
9269035	9791876	387011	8118385	9071405
9906484	1335621	623798	10912071	10064579
8795412	5535046	1961181	9914571	8828671
11181437	11108671	974978	7985941	10414281
6902885	10140507	252199	10312110	10783207
9912042	7993719	1284781	8804535	8978877
10134783	10034642	423033	9921254	9927299
8888506	8869516	1946782	425008	9034412
9031800	8889607	506588	6679507	10011044
9903513	10026623	1734089	10915690	11232280
9120538	9136018	195218	8120500	7628726
9915095	8952354	707138	9863193	11030379
9144870	9677097	257588	8262877	9113200
10152900	8115025	523620	10089008	9804472
9740247	10059034	2039299	8853677	9016400
9349694	8900865	183654	9779116	11127054
3639439	10226237	859882	8952205	7153346
4975232	7787083	2004513	9019302	12724723
10414141	2962894	923818	9990983	7987101
9585160	879485	1199718	9018624	9879886
10032804	1399412	269085	9063872	11039546
9194511	12810830	671266	10121956	9131989
9771780	9048429	1014750	9065907	10070075
9969925	8836319	467777	8958652	3777223
10178187	9135622	2448298	9823985	2006343
9853773	8813557	2911993	10356881	13088858
10139107	10051333	1234731	7743722	9017667
9997016	8832659	262461	9913190	9926925
8874828	1139002	489341	8967022	6961490
10205015	5960198	3226533	8979821	13004371
9793225	12358132	995521	9993037	7988374
10070722	7734455	1894843	8124274	9155002
8992075	9024137	2949571	10147221	26824628
10940835	8904643	218504	9138127	3187696
8001647	1893398	6736932	8711356	11735234
9938816	5130908	9955539	9931892	9080360
9894909	1021225	9149540	9902927	9025299
10016231	9007903	10972850	8039294	10882651
8998053	9764102	8818298	9940986	1049450
8548019	9302360	9105862	9076607	5952507
15636137	8886177	10933115	9920427	181127
4961578	9988028	12105645	8202650	10838599
10970993	7996072	5003864	9762546	290675
8952909	10902482	12899410	10069073	750222
9943315	8078889	9058941	8972562	3876127
9083010	9963816	8980169	9409930	12006121
10873013	8948017	9872344	9653708	9061086
10031325	8872630	10041310	8898746	9908401
174196	10082968	10016044	9083126	9192946
6912392	8942534	9050428	8309667	9965095
11000415	8949894	8014383	10651333	8990978
9851933	8992018	13859147	8014703	10889689
9002744	10066162	6995644	10131916	9155800
159995	9025627	10955871	8759648	9851789
7903082	9191035	8144966	9274093	8918590
10934371	9795180	12095926	9769161	9239328
9031384	9879220	670160	10053857	9741220
1108450	7007098	286063	7946652	10150634
6937970	10961091	1746938	90751	7987427
6949331	9209779	671149	8222818	10866601
494183	8917953	1820373	9737042	8032882
896945	8962744	3642086	1064297	9245918
896945	10971563	880247	6029982	725636
5046690	7019862	2085853	10407123	7966213
5046690	10967866	3936812	21693995	9534642
9015528	8006810	114685	6718848	8400026
9015528	8986144	2988900	9026489	330797
8023119	11924126	151667	10021897	1065346
10931949	6173625	725066	9010811	5601942
73552	10897971	222392	9385660	8280793
8002132	9985267	2738295	8637647	116888
9987022	9934955	1070000	10898573	10610392
177565	6963114	240771	7317418	197568
8767411	11116124	5671858	10704348	4809533
9005514	7910724	199866	8010995	13007588
9971467	9010819	1823612	9388550	137657
9085008	10008828	272040	7630979	5769673
9202379	10069071	2663542	11981633	156490
109896	7891809	167124	8165623	8839692
8623129	9041213	2972213	10789344	281151
8971680	11032739	1836152	7962149	7781211
10199606	8121148	3267759	378168	10409620
8831030	9870572	3042775	7614365	437657
112284	8940241	6734345	9340707	6112819
7941304	9894578	265183	148047	321682
9960652	8061919	8688751	8564533	8735999
8303019	24883428	3017281	8960720	11015447
10083340	2979001	881075	110317	6861033
9630368	11150342	2063430	159578	176216
8943296	8930215	4976016	240890	8891806
9987144	9999909	1059224	4501999	106700
7940919	8037678	1893168	11930239	1859332
11022875	9841044	7010960	8090901	4057736
9023418	10175797	1040385	8994831	11005294
10030115	7796077	13913914	1027692	213645
155024	2079315	319989	6932936	7725298
7798354	1152158	5663388	9976794	8908685
10978867	1878157	11009715	11198745	10050656
210418	7953164	10054831	6811937	8058335
6774658	249613	10119786	9977753	11105083
11394286	13679922	168979	10181695	7747290
8860464	166721	5848144	8894121	9228535
9780018	6205170	137348	8915403	9751160
9372582	9603078	10640222	8995705	9190231
10715493	9048231	359173	9033282	8905741
7908999	8985141	7744780	9085308	1263614
7908999	10004880	10045285	9886380	7126970
9021443	8041311	9878364	8352096	9884002
8926030	11065367	12050104	9923118	1311689
9210840	7860631	5860693	8948447	4789104
10793019	10001287	1041563	9784604	11848048
8928017	9191255	9123572	8979154	7958626
9465621	9821754	1355407	9249822	8887076
10600853	8986013	6548568	9204032	10962374
7835605	8976727	11182971	9617725	6996354
10027247	9914976	8965308	403365	10984935
8007883	8126369	11117420	6495650	8077501
10003377	10780818	626135	11042696	9899847
9265586	8045294	6127313	8267734	9340481
9768027	9033603	10882390	9813072	4872736
8061779	10969105	9962657	9290440	1883650
9998812	8114836	9106355	10774904	12137814
5927353	8839124	10963353	8900780	7813751
900621	11181273	7925686	7949790	8979436
11126053	6851349	10067738	10073105	10907982
8920138	12081226	238523	9944816	8203033
10387749	5888471	977404	8053070	8938748
9600159	12108106	2022305	10947641	1025866
9971135	7891804	14677024	8060613	643677
8997449	10088719	7202178	9157804	3692923
10268467	7955472	6780318	9731847	13709094
9730103	11124310	351269	9001069	6715907
9003382	7985375	12825107	10240903	9129298
11079790	9988424	1710576	8831244	9995348
8980313	8981354	206873	8987712	8865086
10039440	8952439	1832361	10009643	9109732
9997383	10006781	170167	9152351	7937740
10173153	8953735	985354	9166750	10991413
8755126	8957687	148501	9618998	8962414
10029341	9103612	6989006	7974950	9010916
11061242	9904800	1907830	10313089	9914006
7930954	7858622	160301	8992158	9204859
10018792	11055258	5644109	8679470	9000818
10949645	8989313	951028	11255191	9949565
8030314	8198172	4404221	7960955	8899610
9950897	10762425	1673557	9865077	8985081
26110540	8086244	145861	8948890	4879018
1839544	9001272	776769	8989505	992218
13103109	10960619	1031605	8972625	13231959
8955762	8021888	920059	150427	7787855
10054472	8947977	1174979	7817727	9007581
9208661	9989327	223010	9929328	10176791
9768537	9251117	474410	9140097	8880366
9863043	10593095	302565	21850533	10021389
9131247	7126755	872764	5970328	8961421
10142177	10932037	277284	11046679	9033820
10805402	7929008	699802	7200790	9184801
9068539	10993187	316746	10727461	9701054
9949067	8106277	578418	8424081	8977264
9040430	9884474	123408	9690323	9103481
9174521	7986997	317166	9191339	9335357
10705773	10520491	1648489	9725334	10628106
9944825	8496943	919466	7967133	8123489
9086465	9086833	1112116	12144945	9988624
10071668	10113119	856500	7893875	8762135
9864667	835390	5067274	8956192	10014280
9941808	1032149	3925444	9084026	9154185
8304590	2910961	208110	7516535	7885576
10771602	2279340	3982735	14544218	10112392
9976886	769055	797983	5092383	9787258
8120392	190565	263675	10810058	8080303
2103208	152684	11743840	7945786	9928066
275023	234462	132794	10989179	9044627
505609	262896	4999491	9076045	9009642
927228	220177	185818	9677770	10008655
1050378	114852	5625164	8169782	8957847
983981	270008	331858	9077596	9193992
1038731	476946	2632915	10149823	9785704
5862281	245259	5941921	7826092	10059998
3062023	321764	1098777	10998125	7991630
7076194	204675	331287	7913061	9825641
11017390	93501	533841	10054227	9149877
4035343	128391	12274432	9027646	8912750
2829209	203490	898878	9115445	9996651
11078500	249773	2847551	9821937	7975304
10037205	212528	354788	9028199	10899112
8927720	268020	2611695	9045989	7358059
11024117	418905	289497	9966494	10710280
8041211	208246	2805293	7960116	9042802
8008851	237875	339257	10013810	9287802
1295169	417295	685728	20558539	8594569
9595504	100384	2295247	8623716	9004498
10001027	268864	1735919	10832773	8979399
9272448	256737	876137	9220754	10063392
10673743	353247	1067095	9734737	8951833
9038156	196844	5891311	10034698	10036997
12086246	216473	325270	8984689	9418467
6894900	236630	801416	11016216	9799548
1078269	629726	799723	8092938	6757301
6009223	156831	187057	8766563	11078518
6009223	312998	851282	9051768	9821023
7316029	112808	3224978	10937085	9111323
349355	217676	864437	7943473	9978438
7343827	255815	2229103	10231095	7987275
2954817	259963	1750121	8963605	11107616
2951402	261940	1037272	8977134	6860086
1157551	192882	323294	9820497	12069175
4904162	226864	902216	10060655	8000995
906401	312236	1050639	7107961	7863109
3109925	315136	779185	8967328	10006719
1903133	213131	145383	891450	11201412
7015612	916432	1562851	1052645	6839339
98708	209476	3378867	876494	9980726
87760	399753	560393	3133849	9062945
7776983	198402	1191890	854564	8863088
3112280	191235	937750	232725	10067107
979482	2139440	3288320	6764191	8961734
153580	137517	656338	164976	10102462
10022150	263031	1041949	7968364	8913774
153580	235034	151958	10905812	8901171
1843971	109166	310959	6928479	10050566
201172	98273	2543414	12291323	9090451
2551326	248351	971027	233753	8989126
1262020	332211	2161870	5518671	8957210
76169	246426	932720	249171	10157863
1247320	446385	142638	7899417	7839113
128061	351513	941963	798257	10968757
2235657	122290	684896	309626	9009820
514508	201647	2183509	8646372	7821550
158472	159434	1017279	298904	10058864
395741	205845	2942636	6902434	9987605
