CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
8059706	6765630	6106386	3479055	16463101
10040021	10083827	10569043	9989501	3949473
8929987	5345858	10015613	5027794	13110427
10075454	980866	9021160	2105722	5861689
8996637	14088082	8379072	10853816	11699996
9036350	6584082	10572571	8980178	10337466
9678982	12302175	8436985	9052412	5980860
8982521	6536844	8150941	11099539	14039658
9253230	12204208	23962442	7897190	5021416
9101022	10214814	5030932	8975916	12956534
9913838	8613860	10893276	10097546	6062587
8247503	10061445	8921376	8941740	10917223
10831976	10064344	11021631	9018698	7943304
7981553	8921259	8029603	10035360	12223502
10028836	10421115	9578987	7901523	6963253
8930003	9462551	9431679	10007303	8382414
9014730	7888850	9968588	9019671	16520124
9989609	14247563	10038239	9414720	2910828
9957406	5341561	10981546	9757395	11072758
8058899	11973486	9660516	9933923	43336
9995625	9110654	9427025	8478477	8884992
8959407	9974394	8499083	9450542	9088869
9069003	10079224	9954951	9991607	11005724
9024501	8909739	9470894	9537071	8061851
9928748	9630479	9970636	10408310	9963378
9065087	8057740	9940981	9085288	9056257
9965900	11806659	9003898	9197563	8973300
7962965	7479679	9647157	10734124	8873567
11061919	10625226	8973696	9013791	11020970
7932481	8375393	9472588	10025003	8118135
10084404	10034404	9590843	10015620	9832432
8896149	7586939	9332494	9584142	9428976
9078290	11346779	9884762	9992918	8783272
9974528	7648386	10849333	9383581	11068340
8969329	11339162	8328567	9648173	8776099
10033402	7608027	12034817	9297233	9392608
8668292	9354765	8919327	8125252	9655567
9324057	10082674	8704742	9902910	9895552
9007719	8976143	11456527	9600841	9261921
9989802	9018569	8943012	9445316	18903734
8964805	9492373	9554880	9077808	10911962
8983018	9071181	10519015	9876256	9895155
12028288	10537108	8543191	9037138	8061985
9159466	7581952	10318641	9026079	10123718
7855563	11294176	10050679	10032094	8912065
9915029	8130094	8933527	9064895	9965765
10086306	9416717	10001635	8960592	9156450
9954209	8502024	10068325	9904883	10001081
9019739	9974247	8902332	9025163	9797231
10156083	8979686	10695024	9631158	7993647
9811466	9715681	9407089	8943166	10100186
10086107	9360264	9984277	9475443	10046673
992747	8937068	8597989	8890499	8893217
6964428	8990426	12343846	9614280	9976936
9189402	9998822	6997063	9482229	10304969
9820669	9028065	11057860	9911990	8769716
9701593	8773645	8950127	8066449	9242136
8021023	10980013	9955029	10569619	10790375
10315576	7268786	10064402	8495582	9071798
8958151	10013575	9971868	8523884	8884517
9730008	9930755	8693132	10394336	10133458
8409573	8570663	11294535	8968607	9773197
10838114	10093594	8724042	8013762	9021727
10106523	7941404	10381668	9551547	10151056
9969786	10005255	7870808	9494566	9942117
8671586	9359212	11039108	9574733	11065387
9226232	9070792	8028983	8953823	15874633
11044633	11077950	10614586	10560703	13166473
9059239	7562608	8088617	7927110	9893136
8971746	9280764	9105130	9929538	9979564
9009720	8615092	11178979	9062350	8955701
11088050	10061649	8047696	8973177	9955861
6852532	9968882	9657326	8995097	10071641
10014137	8419152	10335176	9534389	10978013
8965056	9527572	8768827	9397095	8110095
12126240	9013622	10878456	9002419	10893015
6985950	9431975	9394051	9197453	9065729
9950889	8976992	9919643	10940603	9925257
7951918	9605010	10076090	8253960	9199002
10029699	10073778	8892423	9646943	10086830
10051182	8007796	10082917	9015204	10043539
7931046	10354172	9972778	9597817	10040002
11084947	8612139	9616567	8441647	8781843
8639032	10032977	9002738	10121018	9899005
9266744	8127881	10449238	9131384	9930865
10023216	9817766	9557225	10749086	10090470
7020072	9449611	10435004	6962297	9121665
11968916	10523853	8606167	10968511	9790442
8060600	8439821	10329745	8116308	10100348
9799027	9613882	9952401	9970056	9917427
9146717	8414635	8672248	8134971	8942072
9017882	9666028	3397085	10928164	10084615
8950971	9261989	4992381	7914214	10142762
10008126	9035916	10623927	10014759	11441507
8759131	9086108	9989252	8954440	5416116
8964871	9549613	9360470	8971606	14000743
10310730	9123296	9066983	9144059	8115903
8019772	10223642	10882384	10153460	9156970
10000724	8626829	9714731	9720493	6638758
8959776	2428448	8910861	8084845	15290838
9022962	4533867	11073872	4930878	6760370
9940666	11435840	6783710	2005350	11335922
10110637	7619885	15249004	10996767	7706832
7900692	10029103	5349712	10012959	10955416
10019555	9927551	11614578	8082843	8018156
9018513	9121532	10472015	10144539	11101919
9763360	8890612	7860908	9859775	9951030
8200152	7976517	9994336	8053837	9137265
11043589	11146695	9973340	8809560	9965144
8953541	8891892	9719150	9071709	9921600
10018237	8961085	9314763	9458295	8970876
8985246	9468373	10023483	11041947	10975512
10026389	9603926	9071562	7465199	7970629
9985788	8912009	10881768	11038251	11028923
9984273	7092222	9064769	8133961	8995532
8860180	14055377	9602055	9430865	9932832
11205967	6309977	9124064	8331848	9033109
7959365	9966565	12390066	10427680	11134381
9982807	9170489	7679429	8901418	9156128
10066916	8850659	9765350	9751608	10822796
9037123	10121661	9356027	9101240	7943212
8645271	8850160	8982480	8937322	10901284
10301199	9982019	9656460	10034591	9288471
10061946	8094587	9415837	8949569	9835649
8932167	11087118	10998024	8968211	10076024
10050028	8611069	8008063	9097708	9859149
7947137	8930279	10566066	9948361	9118730
11065575	9423834	8425068	9082011	10095843
7898079	8888992	9643711	9933191	8852043
10009519	9000791	8326536	8503972	11968432
9994245	10062496	10041062	9443614	7971727
9760677	8996914	8990725	8993435	10093717
9259759	9539111	9607023	9015061	10065427
9963402	8410191	10417428	9974963	8973320
9798727	10145850	8947681	9059819	10882642
10295598	9509176	10626168	8967225	9201467
8970898	9331384	9375836	10056868	9871251
10677099	9168950	9669565	8898743	9950477
9070623	9987374	9310708	9005636	9006025
10276217	8498711	9961969	9059014	10163938
8960187	10051893	10049115	9946015	8905360
9938422	8969613	9012054	9072042	10847546
9736173	9471968	9658876	7865567	9208073
9349686	8944391	8339846	10009825	10003073
10031330	8887312	9974130	9038076	8827173
9190992	10060723	9993176	9101995	9978188
9437844	8525311	9647429	9868699	12020389
9300575	9273896	8426409	8345746	7220166
4002564	10245041	8948472	10685338	11888008
2994471	8894895	10033528	8444987	8031917
11684193	8642388	8995917	10186429	9962195
8371527	10018060	9016738	60365124	50976444
9718646	9081922	11593077	8008528	12918721
9208407	9264249	7416073	9982613	7164359
9050160	9619068	11046091	8972063	11881921
8933581	8170588	6894847	10089423	188550
10050949	11175006	13016069	8199832	6720682
8983682	8111860	6659427	9776989	10124378
8972995	9997853	10104729	9533811	9976101
10171328	8601232	8820499	8452581	10909491
8912036	9000258	8427542	9992959	7985923
9703826	10383088	10025456	8950095	10224535
8292337	7925901	8969820	10005911	9896047
9966497	9704139	9003511	8054000	10096860
11008698	9163798	9952892	10204588	9912302
7132799	9748056	9021849	8751463	8897312
