CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
3477132,573920,1986771,502217,218490
16923572,1105652,4690132,255927,250921
3910266,798752,622641,659939,275445
1066143,167135,9063670,886154,210702
9859783,11858541,1217534,3925164,171912
1300155,8077955,5873293,188817,262888
4896990,1221534,10896909,81525,141377
12923866,7698335,8918617,2707422,208110
8895171,9928818,10092283,12287512,252339
9067621,3142588,8997560,7659027,284166
10856511,3860084,10948076,10062249,187959
9321775,9981943,9012066,9289003,234709
8797380,10059989,8955781,10707895,919111
10869821,8406445,12006836,8968342,308384
10023134,9560891,8828022,10027492,61798
9099944,1061272,9308901,9007700,199552
9834953,8101610,9901857,5005403,250982
10222467,7837714,8864743,3006133,698413
7920807,13180560,11120037,10981588,380327
10993755,4953175,8998625,523006,169532
8848468,10849878,10921193,417203,120267
7135629,8042125,8104697,4991431,227458
14828469,10377263,10851033,11254032,277606
7137635,8624256,9153309,9734986,237978
248320,8988858,9008953,10011367,216216
9795309,10385737,10933286,8974895,208628
8813117,8699202,10084706,12221499,97324
9969956,6906777,9087768,7835867,217761
9083800,165766,9749981,10982234,288365
12985511,10783345,8971376,9326214,201855
6988828,9970060,11053969,9938453,242351
9861303,9043882,9119865,8687562,177444
9147873,10370027,9920130,9196893,222365
11046320,9610158,9978784,11786842,269708
10130876,9133446,9078582,8020103,211906
8828163,10874315,10829145,11079322,195782
9950516,8908020,7122579,8986823,239573
10009414,10075428,11799404,10005739,2369066
8909786,9402105,10020010,11006581,103317
11114830,9870195,7958074,8011768,147346
8057745,9856536,11017833,10228777,94700
10920588,9891338,8078095,9673215,369707
9009924,8993047,10025475,10025342,212827
5916281,11037527,8934144,9919881,293210
15162410,9173109,9016792,8301573,79258
7856367,7785081,10952573,10744160,309302
9931448,10040933,11003143,7931087,179532
10066601,10889147,5935685,11005449,253402
8953562,7024321,11984154,7304073,171285
10096866,11004689,9104470,10751696,479625
10864778,8282284,9916594,7927923,302505
9037394,9657822,9182370,5091185,211321
8135315,11038607,9969298,2934595,321806
11790736,7950471,9927606,9966539,1550980
8968546,10038645,10061457,10009452,6569938
8938443,10063091,8119235,8063035,8525368
11220297,10197511,11706275,11006250,10084462
7147064,9769587,8982272,7945376,9449179
12770258,9046349,8995367,10005159,9322028
2963211,9946647,10997887,9038752,19969707
3052358,9969248,8980763,6937409,10034058
11926038,8953070,9993707,12963838,9546651
9929100,11007882,10034232,7043118,7993013
9126322,2107118,9012577,9935571,12119966
9875444,849093,10126358,10014264,9183931
9150767,127291,9841501,7246784,8985882
11006649,70326,9016466,24890576,10716935
8860314,136730,10902585,4829383,10061471
8974947,175047,9052365,11004684,9965357
11006061,176013,10863524,8021343,7922116
6934952,180584,8149868,10068073,9041266
11030500,167761,10957567,8932062,9983015
12072742,195474,8892899,9263561,10220612
7978193,178091,8960014,11870498,9018002
9869424,169898,11181280,8028414,8744774
10017232,177022,8968837,9004194,9336311
9232407,259936,10033379,10965591,8959229
11833494,190872,10852751,9970716,10701425
222222,167810,8008351,6977251,9897127
5774209,188727,11035978,7859823,8162110
11086348,206684,8216613,14224794,10177801
10001567,77657,10746994,7817119,8833799
9788882,128626,8908488,9355664,10021060
9110050,89241,10206260,10579750,9930238
213208,162411,9883041,8999215,10910569
7661944,167270,9980599,10502899,8003714
11160878,171511,9062813,8659787,9967138
933604,1607004,11028953,10893613,11120540
6007297,173731,7813628,9023078,7972181
13087897,180644,12133614,8904237,9945122
6870916,190821,6951901,10007506,9970414
9972454,210663,327457,8270549,660888
10950935,127327,9731487,8863680,5440978
9031120,180891,9926680,10021335,12888597
10024173,181258,9053480,9844556,6951167
10047091,186858,10824883,12071162,10059774
8892349,187778,10024220,6116539,9131859
9987209,175536,8038570,11987132,8814327
9018518,204148,11171997,9025494,8990027
11105867,177763,9719284,10014133,10987548
9079699,179006,8054058,8909965,8040710
9796602,182495,10119220,10936661,9100788
10225632,213603,8965467,9000147,9941333
8731234,224090,8955985,9010657,2888209
11021949,176749,9917159,11405313,3044559
7929251,177303,10325605,8643913,12001087
10024463,184334,7969913,9866542,8011476
10116931,215963,10757141,10026866,8349380
9916852,255374,8941688,8987224,12566520
8994977,159287,10012633,10354229,5955480
10995885,178908,9926297,10788507,10193029
8996693,182233,10005394,7828196,9022688
9968793,217247,8967101,11084291,10848152
8868754,290633,9114720,10005045,7954735
10159038,77688,8944001,8962701,10054920
9952952,174329,10084899,10029592,9076027
